ds,yhat
2022-06-24,138.25
2022-06-27,139.95
2022-06-28,140.52
2022-06-29,141.09
2022-06-30,141.66
2022-07-01,142.48
2022-07-05,145.4
2022-07-06,146.04
2022-07-07,146.66
2022-07-08,147.47
2022-07-11,149.42
2022-07-12,149.92
2022-07-13,150.35
2022-07-14,150.72
2022-07-15,151.26
2022-07-18,152.34
2022-07-19,152.55
2022-07-20,152.69
2022-07-21,152.8
2022-07-22,153.11
2022-07-25,153.69
2022-07-26,153.83
2022-07-27,153.95
2022-07-28,154.09
2022-07-29,154.48
2022-08-01,155.63
2022-08-02,156.05
2022-08-03,156.49
2022-08-04,156.98
2022-08-05,157.74
2022-08-08,160.06
2022-08-09,160.87
2022-08-10,161.68
2022-08-11,161.53
2022-08-12,161.62
2022-08-15,161.69
2022-08-16,161.66
2022-08-17,161.58
2022-08-18,161.47
2022-08-19,161.56
2022-08-22,161.35
2022-08-23,161.14
2022-08-24,160.86
2022-08-25,160.52
2022-08-26,160.36
2022-08-29,159.37
2022-08-30,158.9
2022-08-31,158.38
2022-09-01,157.82
2022-09-02,157.47
2022-09-06,155.54
2022-09-07,154.98
2022-09-08,154.42
2022-09-09,154.09
2022-09-12,152.94
2022-09-13,152.52
2022-09-14,152.09
2022-09-15,151.67
2022-09-16,151.49
2022-09-19,150.72
2022-09-20,150.41
2022-09-21,150.07
2022-09-22,149.72
2022-09-23,149.58
2022-09-26,148.82
2022-09-27,148.47
2022-09-28,148.08
2022-09-29,147.65
2022-09-30,147.43
2022-10-03,146.4
2022-10-04,145.96
2022-10-05,145.49
2022-10-06,144.99
2022-10-07,144.91
2022-10-10,144.39
2022-10-11,144.17
2022-10-12,143.92
2022-10-13,143.68
2022-10-14,143.67
2022-10-17,143.44
2022-10-18,143.33
2022-10-19,143.2
2022-10-20,143.08
2022-10-21,143.18
2022-10-24,143.24
2022-10-25,143.19
2022-10-26,143.11
2022-10-27,143.0
2022-10-28,143.11
2022-10-31,143.02
2022-11-01,142.89
2022-11-02,142.7
2022-11-03,142.48
2022-11-04,142.44
2022-11-07,141.93
2022-11-08,141.65
2022-11-09,141.32
2022-11-10,140.97
2022-11-11,140.83
2022-11-14,140.08
2022-11-15,139.77
2022-11-16,139.43
2022-11-17,139.09
2022-11-18,138.98
2022-11-21,138.44
2022-11-22,138.22
2022-11-23,137.99
2022-11-25,137.76
2022-11-28,137.52
2022-11-29,137.37
2022-11-30,137.19
2022-12-01,136.99
2022-12-02,136.99
2022-12-05,136.58
2022-12-06,137.09
2022-12-07,137.54
2022-12-08,137.93
2022-12-09,138.51
2022-12-12,139.67
2022-12-13,139.9
2022-12-14,140.05
2022-12-15,140.14
2022-12-16,140.4
2022-12-19,140.63
2022-12-20,140.56
2022-12-21,140.42
2022-12-22,140.24
2022-12-23,140.24
2022-12-27,139.54
2022-12-28,139.24
2022-12-29,138.9
2022-12-30,138.78
2023-01-03,137.77
2023-01-04,137.43
2023-01-05,137.08
2023-01-06,136.96
2023-01-09,136.37
2023-01-10,136.14
2023-01-11,135.89
2023-01-12,135.66
2023-01-13,135.66
2023-01-17,135.52
2023-01-18,135.49
2023-01-19,135.47
2023-01-20,135.72
2023-01-23,136.39
2023-01-24,136.61
2023-01-25,136.84
2023-01-26,137.08
2023-01-27,137.57
2023-01-30,138.85
2023-01-31,139.23
2023-02-01,139.57
2023-02-02,139.88
2023-02-03,141.05
2023-02-06,144.06
2023-02-07,144.92
2023-02-08,145.68
2023-02-09,146.37
2023-02-10,147.21
2023-02-13,148.99
2023-02-14,149.37
2023-02-15,149.63
2023-02-16,149.8
2023-02-17,150.11
2023-02-21,150.25
2023-02-22,150.07
2023-02-23,149.84
2023-02-24,149.8
2023-02-27,149.33
2023-02-28,149.12
2023-03-01,148.89
2023-03-02,148.68
2023-03-03,148.72
2023-03-06,148.84
2023-03-07,148.92
2023-03-08,149.02
2023-03-09,149.17
2023-03-10,149.59
2023-03-13,150.88
2023-03-14,151.33
